Algorithm,Round,Loss,Accuracy (%),MAE,RMSE,MAPE,sMAPE
FedAvg,1,0.2916506230831146,90.8128800702402,0.3675116002559662,0.5022043868372715,53.10198211669922,39.449462890625
FedAvg,2,0.2775498926639557,91.0377211270028,0.3534830510616302,0.4899136835580505,48.93772888183594,38.38064956665039
FedAvg,3,0.2728426158428192,91.11404724549392,0.3435880839824676,0.4857413954166569,45.807899475097656,36.35868835449219
FedAvg,4,0.2695192694664001,91.16832993361298,0.3378519415855407,0.48277408854452,43.94849395751953,35.27200698852539
FedAvg,5,0.2725961804389953,91.11806125836236,0.3386411070823669,0.4855219735644585,43.71952438354492,35.19173049926758
FedProx,1,0.3815820217132568,89.49147215140042,0.4561239778995514,0.5744377808406751,76.4893798828125,49.506465911865234
FedProx,2,0.3463262021541595,89.98869785616075,0.4165424406528473,0.547257453154953,64.42092895507812,44.49405288696289
FedProx,3,0.3331605792045593,90.18083192247508,0.405331939458847,0.5367546436018333,61.57612609863281,43.505374908447266
FedProx,4,0.3259937763214111,90.28701841795164,0.4003852903842926,0.5309500689082501,60.705055236816406,43.23581314086914
FedProx,5,0.3228512108325958,90.33394821685984,0.3990869522094726,0.528384700102216,60.82974624633789,43.239410400390625
FedNova,1,0.348556786775589,79.96923418331744,0.5995616912841797,0.6764121886354171,166.1615753173828,77.39827728271484
FedNova,2,0.25733330845832825,82.78889306444007,0.49685022234916687,0.5811960769579991,128.54336547851562,68.01160430908203
FedNova,3,0.2376488596200943,83.46026054538402,0.45971447229385376,0.5585248944720189,114.16971588134766,62.680320739746094
FedNova,4,0.23401828110218048,83.58708713926646,0.45009616017341614,0.5542421299122263,109.9962387084961,60.93889617919922
FedNova,5,0.22879453003406525,83.7713057388716,0.4399520456790924,0.5480213140289668,105.546630859375,59.54461669921875
SCAFFOLD,1,0.34603819251060486,80.04173423598344,0.5964214205741882,0.6739639587599943,164.9681854248047,77.24656677246094
SCAFFOLD,2,0.9426935911178589,67.05829697987087,1.0251858234405518,1.1123972813194107,303.12493896484375,100.35550689697266
SCAFFOLD,3,0.33231106400489807,80.4416062949933,0.5836490988731384,0.6604608137936776,160.46182250976562,76.41443634033203
SCAFFOLD,4,0.8897475600242615,67.99674275018481,0.9945406317710876,1.080707221976546,293.8436279296875,99.16519165039062
SCAFFOLD,5,0.3412977159023285,80.17891166315827,0.5938464999198914,0.6693316603947753,164.25735473632812,77.2492446899414
FedOpt,1,0.32159075140953064,80.75966881900246,0.5721327066421509,0.6497202674782316,155.59408569335938,75.40255737304688
FedOpt,2,0.2480071485042572,83.1036504865685,0.48488956689834595,0.570567139515487,123.71745300292969,66.98160552978516
FedOpt,3,0.48399269580841064,76.39629520155621,0.6413257122039795,0.7970655624820178,159.6984100341797,74.76808166503906
FedOpt,4,0.5419909358024597,75.02205135251444,0.6497744917869568,0.8434719404585863,154.25820922851562,77.90669250488281
FedOpt,5,0.26612424850463867,82.49738252572013,0.4325045645236969,0.5910399982194431,95.39089965820312,58.42446517944336
FedAdam,1,0.31701746582984924,80.89696499380577,0.570697009563446,0.645083959164316,155.26925659179688,75.5077133178711
FedAdam,2,0.3173713684082031,80.88630494388916,0.576445996761322,0.645443934801845,158.24668884277344,75.86575317382812
FedAdam,3,0.3210296630859375,80.7764605260793,0.5623114109039307,0.6491532339739345,150.01473999023438,72.75696563720703
FedAdam,4,0.3205292224884033,80.79145043778529,0.5267377495765686,0.6486470446910444,132.14585876464844,67.89649963378906
FedAdam,5,0.30850985646247864,81.15503529745398,0.4996151924133301,0.6363692699452391,118.26766967773438,69.18900299072266
FedYogi,1,0.28787752985954285,81.79608931706215,0.5369849801063538,0.6147217325317889,142.20791625976562,72.79656982421875
FedYogi,2,123.88691711425781,-277.63610372276685,10.754977226257324,12.752266476707925,2831.328857421875,174.71856689453125
FedYogi,3,15.148832321166992,-32.05363673650445,4.40999698638916,4.4592748105423485,1038.36865234375,200.0
FedYogi,4,0.7728371620178223,70.17332892318377,0.8824071884155273,1.0072068161255805,251.22900390625,93.10238647460938
FedYogi,5,3.5028817653656006,36.50003007982207,2.0579185485839844,2.14430911054924,571.30859375,127.83504486083984
FedAdagrad,1,0.3106243908405304,81.09056519038238,0.563753604888916,0.6385463392907126,153.74742126464844,74.97647094726562
FedAdagrad,2,9.283267974853516,-3.3739768833074724,3.2154459953308105,3.4908010303504975,853.001708984375,141.7957000732422
FedAdagrad,3,0.5423526167869568,75.01371669107915,0.6054301261901855,0.8437533908352004,92.80485534667969,127.73335266113281
FedAdagrad,4,0.7596546411514282,70.42880456284112,0.813356876373291,0.9985797452414636,196.91387939453125,86.24613189697266
FedAdagrad,5,0.2924145460128784,81.65320268255829,0.5151469707489014,0.6195468231976192,134.5573272705078,68.57109832763672
FedDyn,1,0.3271487057209015,80.59411768767893,0.5758762359619141,0.6553107079084393,157.36666870117188,75.7547607421875
FedDyn,2,0.22478622198104858,83.91408954030777,0.44810083508491516,0.5431996958983867,110.52496337890625,62.93531799316406
FedDyn,3,0.22297675907611847,83.97896518693837,0.42921605706214905,0.5410089320240474,102.45735931396484,59.009613037109375
FedDyn,4,0.23339883983135223,83.60882348346017,0.4366278648376465,0.553508122621464,104.67555236816406,59.56463623046875
FedDyn,5,0.2426827847957611,83.28600413682895,0.44429734349250793,0.5644093004789185,106.60103607177734,60.69927215576172
Clustered FL,1,0.27583515644073486,82.18090768439606,0.5237841606140137,0.6017269306127007,138.30397033691406,71.61663818359375
Clustered FL,2,0.2282002866268158,83.79239418407928,0.4551195204257965,0.5473091854209851,112.7218017578125,63.632591247558594
Clustered FL,3,0.22035594284534454,84.07339678860612,0.43522393703460693,0.5378201030524047,105.03387451171875,60.452144622802734
Clustered FL,4,0.20740045607089996,84.54867948384587,0.4098782241344452,0.52177044169398,95.62147521972656,57.08893966674805
Clustered FL,5,0.20147253572940826,84.77109274509557,0.3945279121398926,0.5142598431377255,89.65199279785156,55.24551773071289
